,Akurasi,Presisi (W),Recall (W),F1-Score (W),Waktu Training (s)
Random Forest,0.9843046981270273,0.9844499151133834,0.9843046981270273,0.9842823399433924,188.36836338043213
Decision Tree,0.9817934498273517,0.9818279228464811,0.9817934498273517,0.9817773779398125,7.363042593002319
Gradient Boosting,0.9795961075651355,0.9797470963656946,0.9795961075651355,0.9795586492526324,164.82762622833252
SVM (RBF),0.9743643402741446,0.9747718829651063,0.9743643402741446,0.9743041625292413,56.17415165901184
MLP Neural Network,0.9708067385162708,0.9709576776322624,0.9708067385162708,0.9706846736228535,55.50289845466614
Naive Bayes (Gaussian),0.9237208328973527,0.9248324192616084,0.9237208328973527,0.9225244739887436,0.006388425827026367
QDA,0.9225698440933348,0.9235190830922559,0.9225698440933348,0.9213763112722114,0.14460444450378418
SVM (Linear),0.9202678664852987,0.9207560118892176,0.9202678664852987,0.9190825804129301,1.2691802978515625
Logistic Regression,0.9155592759234069,0.9187541006102612,0.9155592759234069,0.9137545924273391,2.4667162895202637
LDA,0.898817620592236,0.902940078465713,0.898817620592236,0.8946372662663074,0.011044025421142578
AdaBoost,0.84482578214921,0.8724818581696429,0.84482578214921,0.8323597678491118,14.56534743309021
